DistributorId,DistributorRegistrationDate
30200267,2020-02-04T07:54:54.560Z
30252494,2020-02-04T05:55:56.680Z
30426497,2020-02-04T11:30:08.300Z
30435003,2020-02-04T07:51:27.883Z
30435004,2020-02-04T07:39:37.127Z
30435005,2020-02-04T07:30:05.450Z
30435006,2020-02-04T07:36:59.173Z
30435007,2020-02-04T07:23:08.390Z
30435060,2020-02-04T07:32:45.227Z
30435126,2020-02-04T07:11:30.747Z
30435286,2020-02-04T11:14:32.847Z
30435537,2020-02-04T07:25:08.793Z
30435538,2020-02-04T07:27:03.377Z
30435540,2020-02-04T11:24:38.710Z
30435559,2020-02-04T08:08:12.087Z
30435630,2020-02-04T12:37:58.213Z
30435662,2020-02-04T11:20:28.480Z
30435667,2020-02-04T07:16:55.787Z
30435668,2020-02-04T07:13:13.567Z
30435686,2020-02-04T07:19:52.933Z
30435687,2020-02-04T07:14:37.110Z
30437707,2020-02-04T06:35:02.113Z
30437824,2020-02-04T06:04:49.620Z
30441419,2020-02-04T14:49:52.790Z
30441420,2020-02-04T14:52:59.353Z
30441421,2020-02-04T14:57:36.850Z
30441422,2020-02-04T15:00:04.853Z
30441423,2020-02-04T15:02:40.520Z
30443049,2020-02-04T12:05:44.913Z
30443421,2020-02-04T10:24:49.923Z
30443422,2020-02-04T10:39:26.857Z
30443616,2020-02-04T10:59:44.627Z
30443626,2020-02-04T12:08:12.493Z
30443631,2020-02-04T13:25:16.633Z
30444490,2020-02-04T08:09:29.363Z
30445277,2020-02-04T07:54:26.820Z
30446425,2020-02-04T10:50:12.003Z
30452319,2020-02-04T11:28:02.310Z
30453789,2020-02-04T09:11:18.350Z
30454465,2020-02-04T07:07:49.170Z
30454466,2020-02-04T07:06:02.817Z
30454467,2020-02-04T07:09:51.180Z
30465118,2020-02-04T08:09:48.130Z
30475663,2020-02-04T08:15:11.143Z
30475664,2020-02-04T08:17:32.447Z
30475665,2020-02-04T08:13:46.613Z
30475668,2020-02-04T09:13:25.940Z
30475669,2020-02-04T08:36:59.447Z
30475670,2020-02-04T09:35:13.953Z
30501555,2020-02-04T14:54:42.780Z
30501590,2020-02-04T07:35:01.767Z
30505827,2020-02-04T09:47:21.670Z
30505833,2020-02-04T09:41:20.920Z
30505837,2020-02-04T09:44:24.393Z
30505838,2020-02-04T05:26:13.917Z
30506149,2020-02-04T08:07:43.423Z
30506969,2020-02-04T09:14:29.777Z
30508693,2020-02-04T07:21:01.780Z
30508968,2020-02-04T07:11:56.540Z
30510057,2020-02-04T14:57:30.940Z
30605065,2020-02-04T08:02:19.810Z
30702928,2020-02-04T05:58:39.507Z
30911597,2020-02-04T05:54:41.383Z
31081977,2020-02-04T06:30:03.940Z
31311975,2020-02-04T14:09:03.243Z
31313118,2020-02-04T13:59:07.840Z
31372786,2020-02-04T08:50:15.747Z
32549309,2020-02-04T10:24:26.197Z
32569566,2020-02-04T06:09:41.497Z
33207624,2020-02-04T14:14:35.510Z
33320587,2020-02-04T02:52:55.180Z
33364418,2020-02-04T13:26:01.847Z
33366431,2020-02-04T13:58:22.683Z
33368516,2020-02-04T03:06:16.743Z
33376615,2020-02-04T07:25:09.620Z
33532179,2020-02-04T10:32:16.263Z
33556622,2020-02-04T12:47:51.397Z
33662022,2020-02-04T15:34:18.053Z
33662025,2020-02-04T06:33:31.737Z
33663100,2020-02-04T08:04:55.143Z
33898977,2020-02-04T14:42:39.257Z
33952310,2020-02-04T12:09:22.283Z
34394714,2020-02-04T10:04:44.240Z
34444445,2020-02-04T15:48:35.367Z
35001300,2020-02-04T09:34:29.270Z
35001400,2020-02-04T09:42:53.920Z
35352020,2020-02-04T06:06:30.650Z
35540000,2020-02-04T15:18:10.367Z
35722115,2020-02-04T06:35:25.427Z
35829780,2020-02-04T06:01:00.833Z
36279909,2020-02-04T12:06:19.077Z
36936996,2020-02-04T07:52:07.640Z
36973492,2020-02-04T03:18:22.617Z
36973648,2020-02-04T11:29:58.417Z
37378999,2020-02-04T16:32:32.430Z
37577637,2020-02-04T13:35:58.810Z
38352095,2020-02-04T15:36:20.913Z
38534465,2020-02-04T11:04:48.530Z
38614319,2020-02-04T07:08:53.613Z
38961181,2020-02-04T14:06:14.710Z
39195300,2020-02-04T03:43:26.820Z
39560067,2020-02-04T15:11:07.493Z
40007435,2020-02-04T11:00:14.690Z
40015949,2020-02-04T05:44:09.453Z
40046449,2020-02-04T11:31:52.940Z
40050660,2020-02-04T06:01:19.793Z
